ID	P.Value	logFC	Gene.symbol	Gene.title
1450988_at	4.19e-01	-8.18e-01	Lgr5	leucine rich repeat containing G protein coupled receptor 5
1425580_a_at	4.19e-01	4.85e-02	Pik3c3	phosphoinositide-3-kinase, class 3
1454679_at	4.19e-01	9.15e-02	Champ1	chromosome alignment maintaining phosphoprotein 1
1440656_at	4.19e-01	-5.58e-01	Hecw1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
1445770_at	4.19e-01	5.47e-01		
1447173_at	4.19e-01	5.93e-01	Lrrc31	leucine rich repeat containing 31
1445578_at	4.19e-01	-2.39e-01		
1424633_at	4.19e-01	-9.10e-01	Camk1g	calcium/calmodulin-dependent protein kinase I gamma
1444962_at	4.19e-01	-7.55e-01	Gm34940///LOC101055663///Gm7609	predicted gene, 34940///component of Sp100-rs-like///predicted pseudogene 7609
1430832_at	4.19e-01	-2.43e-01	4930426I24Rik	RIKEN cDNA 4930426I24 gene
1438927_x_at	4.19e-01	8.46e-01	Gm3362///Gm8290///Gm8264///Gm8158///Gm8137///Gm8112///Gm6177///Rpl23a	predicted pseudogene 3362///predicted gene 8290///predicted gene 8264///predicted gene 8158///predicted gene 8137///predicted gene 8112///ribosomal protein L23A pseudogene///ribosomal protein L23A
1441915_s_at	4.19e-01	-7.18e-01	Plin5	perilipin 5
1417222_a_at	4.19e-01	9.00e-02	Tmem123	transmembrane protein 123
1432212_at	4.19e-01	7.36e-01	A1cf	APOBEC1 complementation factor
1452633_s_at	4.19e-01	-5.99e-02	Aak1	AP2 associated kinase 1
1430528_at	4.19e-01	2.11e-01	Sdcbp	syndecan binding protein
1448042_s_at	4.19e-01	6.16e-01	Rnf2	ring finger protein 2
1433860_at	4.19e-01	-6.20e-02	6030458C11Rik	RIKEN cDNA 6030458C11 gene
1428534_at	4.19e-01	7.00e-02	Nr2c2ap	nuclear receptor 2C2-associated protein
1442099_at	4.19e-01	-1.53e-01	Usp31	ubiquitin specific peptidase 31
1433114_at	4.19e-01	6.39e-01	4921504P20Rik	RIKEN cDNA 4921504P20 gene
1417399_at	4.19e-01	2.08e-01	Gas6	growth arrest specific 6
1426433_at	4.19e-01	5.88e-01	Myct1	myc target 1
1440725_at	4.19e-01	-1.30e-01	Gpr63	G protein-coupled receptor 63
1438282_at	4.19e-01	-4.30e-01	Syt1	synaptotagmin I
1448855_at	4.19e-01	9.10e-02	Rassf1	Ras association (RalGDS/AF-6) domain family member 1
1419108_at	4.19e-01	6.71e-01	Ophn1	oligophrenin 1
1423845_at	4.19e-01	5.68e-01	Csdc2	cold shock domain containing C2, RNA binding
1459050_at	4.19e-01	5.32e-01	Gm996	predicted gene 996
1425205_at	4.19e-01	-6.42e-01	Ddx19b	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19b
1444864_at	4.20e-01	2.58e-01	D12Ertd125e	DNA segment, Chr 12, ERATO Doi 125, expressed
1435849_at	4.20e-01	5.13e-01	Jakmip3	janus kinase and microtubule interacting protein 3
1457537_at	4.20e-01	-8.59e-02	Rab1a	RAB1A, member RAS oncogene family
1458012_at	4.20e-01	3.15e-01	Dach2	dachshund 2 (Drosophila)
1445455_at	4.20e-01	-7.70e-01	D3Ertd270e	DNA segment, Chr 3, ERATO Doi 270, expressed
1454585_at	4.20e-01	-2.19e-01	Enho	energy homeostasis associated
1451463_at	4.20e-01	6.12e-01	Prr5	proline rich 5 (renal)
1424905_a_at	4.20e-01	8.07e-02	Slc39a11	solute carrier family 39 (metal ion transporter), member 11
1421070_at	4.20e-01	-1.32e-01	Supt20	suppressor of Ty 20
1441882_at	4.20e-01	-3.16e-01		
1422062_at	4.20e-01	5.97e-01	Msr1	macrophage scavenger receptor 1
1449185_at	4.20e-01	9.42e-01	Crx	cone-rod homeobox
1415808_at	4.20e-01	2.25e-01	Tpbpa	trophoblast specific protein alpha
1418686_at	4.20e-01	-1.52e-01	Oas1c	2'-5' oligoadenylate synthetase 1C
1435967_s_at	4.20e-01	-5.83e-02	Hibadh	3-hydroxyisobutyrate dehydrogenase
1444040_at	4.20e-01	9.79e-02	Lair1	leukocyte-associated Ig-like receptor 1
1439222_at	4.20e-01	-6.43e-01	Morc2b	microrchidia 2B
1423591_at	4.20e-01	-6.44e-02	Fgfr1op2	FGFR1 oncogene partner 2
1454245_at	4.20e-01	7.33e-01	Csmd3	CUB and Sushi multiple domains 3
1428724_at	4.20e-01	-1.01e-01	Pcf11	PCF11 cleavage and polyadenylation factor subunit
1444205_at	4.20e-01	-2.06e-01		
1419845_at	4.20e-01	-3.32e-01	Dlx1as	distal-less homeobox 1, antisense
1443435_at	4.20e-01	1.54e-01		
1440632_at	4.21e-01	-7.83e-01	Pcdhb4	protocadherin beta 4
1458594_at	4.21e-01	-1.46e-01	Shprh	SNF2 histone linker PHD RING helicase
1451236_at	4.21e-01	6.99e-01	Rerg	RAS-like, estrogen-regulated, growth-inhibitor
1444954_at	4.21e-01	3.72e-01		
1433280_at	4.21e-01	5.35e-01	4933417G07Rik	SEC13 homolog pseudogene
1452672_at	4.21e-01	6.61e-02	Thoc5	THO complex 5
1435992_at	4.21e-01	4.56e-01	Iqca	IQ motif containing with AAA domain
1442042_at	4.21e-01	-1.67e-01	Gm20324	predicted gene, 20324
1452940_x_at	4.21e-01	1.63e-01	Pitpnc1	phosphatidylinositol transfer protein, cytoplasmic 1
1441537_at	4.21e-01	-2.12e-01	Recql5	RecQ protein-like 5
1434973_at	4.21e-01	2.73e-01	Car7	carbonic anhydrase 7
1428301_at	4.21e-01	-5.87e-01	LOC102638110///LOC100861615///Gm3164///Gm3173///Gm3739///Gm3696///Gm3667///Gm3194///Gm3591///Gm3558///Gm3488///Gm3500///Gm3383///Gm3264///Gm3252///Gm3239///Gm3636///Gm3115///Gm3095///Gm10340///Gm2897///Gm2888///Gm10406///Gm3373///Gm3317///Gm5796	uncharacterized LOC102638110///alpha takusan-like///predicted gene 3164///predicted gene 3173///predicted gene 3739///predicted gene 3696///predicted gene 3667///predicted gene 3194///predicted gene 3591///predicted gene 3558///predicted gene, 3488///predicted gene 3500///predicted gene 3383///predicted gene 3264///predicted gene 3252///predicted gene 3239///predicted gene 3636///predicted gene 3115///predicted gene 3095///predicted gene 10340///predicted gene 2897///predicted gene 2888///predicted gene 10406///predicted gene 3373///predicted gene 3317///predicted gene 5796
1421411_at	4.21e-01	6.68e-02	Pstpip2	proline-serine-threonine phosphatase-interacting protein 2
1436504_x_at	4.21e-01	3.60e-01	Apoa4	apolipoprotein A-IV
1435224_at	4.21e-01	5.06e-02	Crebbp	CREB binding protein
1442143_at	4.21e-01	5.20e-01	Ano4	anoctamin 4
1431988_at	4.21e-01	1.37e-01	1700112E06Rik	RIKEN cDNA 1700112E06 gene
1429995_at	4.21e-01	-6.46e-01	Prss44	protease, serine 44
1453998_at	4.21e-01	-7.19e-01	Smap1	small ArfGAP 1
1453609_s_at	4.21e-01	6.11e-02	Ccdc9	coiled-coil domain containing 9
1431134_at	4.21e-01	-2.75e-01	Ing5	inhibitor of growth family, member 5
1449938_at	4.21e-01	5.64e-01	Endou	endonuclease, polyU-specific
1420768_a_at	4.21e-01	-6.34e-01	Dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58
1419391_at	4.21e-01	-5.99e-01	Myog	myogenin
1457077_at	4.21e-01	-6.74e-01		
1440732_at	4.21e-01	6.19e-01	D030018L15Rik	nuclear receptor coactivator 2 pseudogene
1422121_at	4.21e-01	-6.27e-01	Oprd1	opioid receptor, delta 1
1460420_a_at	4.21e-01	2.97e-01	Egfr	epidermal growth factor receptor
1426595_at	4.21e-01	2.52e-01	Slc18a1	solute carrier family 18 (vesicular monoamine), member 1
1457375_at	4.22e-01	2.77e-01	2210016F16Rik	RIKEN cDNA 2210016F16 gene
1435137_s_at	4.22e-01	5.05e-02	A130040M12Rik///1200015M12Rik	RIKEN cDNA A130040M12 gene///RIKEN cDNA 1200015M12 gene
1431588_at	4.22e-01	5.94e-01		
1416620_at	4.22e-01	1.30e-01	Smarcal1	SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1
1453637_at	4.22e-01	6.25e-01	5430410E06Rik	RIKEN cDNA 5430410E06 gene
1440409_at	4.22e-01	-3.31e-01	Gcnt3	glucosaminyl (N-acetyl) transferase 3, mucin type
1454500_at	4.22e-01	-5.52e-01	6330419E04Rik	RIKEN cDNA 6330419E04 gene
1421442_at	4.22e-01	1.89e-01	Flt4	FMS-like tyrosine kinase 4
1457451_at	4.22e-01	1.03e-01	Orc4///Acvr2a	origin recognition complex, subunit 4///activin receptor IIA
1458886_at	4.22e-01	-4.67e-01		
1450812_at	4.22e-01	7.47e-01	Bcl2a1d///Bcl2a1c///Bcl2a1b///Bcl2a1a	B cell leukemia/lymphoma 2 related protein A1d///B cell leukemia/lymphoma 2 related protein A1c///B cell leukemia/lymphoma 2 related protein A1b///B cell leukemia/lymphoma 2 related protein A1a
1438889_at	4.22e-01	5.81e-01	Pcdh11x	protocadherin 11 X-linked
1447530_at	4.22e-01	-4.94e-01	F8a	factor 8-associated gene A
1434219_at	4.22e-01	-9.06e-02	Stim2	stromal interaction molecule 2
1441693_at	4.22e-01	-2.34e-01	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3
1457338_at	4.22e-01	-1.42e-01		
1440968_at	4.22e-01	1.00e-01	Eif2d	eukaryotic translation initiation factor 2D
1430520_at	4.22e-01	-4.29e-01	Cpne8	copine VIII
1434447_at	4.22e-01	3.04e-01	Met	met proto-oncogene
1431674_at	4.22e-01	2.87e-01	2610303G11Rik	RIKEN cDNA 2610303G11 gene
1454813_at	4.22e-01	-5.04e-02	Gm15610///Tma7-ps///Tma7	coiled-coil domain-containing protein 72 pseudogene///translational machinery associated 7 homolog (S. cerevisiae), pseudogene///translational machinery associated 7
1458474_at	4.22e-01	-1.33e-01	Abhd17a	abhydrolase domain containing 17A
1445547_at	4.22e-01	-2.15e-01		
1440020_at	4.22e-01	8.48e-02		
1430958_at	4.22e-01	7.51e-01	4933430N04Rik	RIKEN cDNA 4933430N04 gene
1430890_at	4.22e-01	1.85e-01	Igsf23	immunoglobulin superfamily, member 23
1449655_a_at	4.22e-01	1.10e-01	Cmtr1	cap methyltransferase 1
1428329_a_at	4.22e-01	1.42e-01	Ift80	intraflagellar transport 80
1432248_at	4.22e-01	1.99e-01	5430402P08Rik	RIKEN cDNA 5430402P08 gene
1457896_at	4.22e-01	-4.11e-01	Esrrg	estrogen-related receptor gamma
1434318_a_at	4.22e-01	5.10e-02	Tfe3	transcription factor E3
1447379_at	4.22e-01	1.78e-01		
1430229_at	4.22e-01	5.65e-01	Gpr137c	G protein-coupled receptor 137C
1438139_at	4.22e-01	1.71e-01	Arhgap28	Rho GTPase activating protein 28
1446864_at	4.22e-01	-5.67e-01		
1453218_at	4.22e-01	8.25e-01	Lce1c	late cornified envelope 1C
1421941_at	4.22e-01	3.49e-01	Camk4	calcium/calmodulin-dependent protein kinase IV
1437951_at	4.22e-01	1.34e-01	Dis3l2	DIS3 like 3'-5' exoribonuclease 2
1458440_at	4.22e-01	4.69e-02	Specc1	sperm antigen with calponin homology and coiled-coil domains 1
1429437_at	4.22e-01	-1.20e-01	Prpf40a	pre-mRNA processing factor 40A
1430465_at	4.22e-01	1.50e-01	Raly	hnRNP-associated with lethal yellow
1426426_at	4.22e-01	4.83e-02	Mak16	MAK16 homolog
1415946_at	4.22e-01	-6.05e-02	Pigq	phosphatidylinositol glycan anchor biosynthesis, class Q
1443796_at	4.23e-01	-1.88e-01	Il16	interleukin 16
1451862_a_at	4.23e-01	-1.34e-01	Prf1	perforin 1 (pore forming protein)
1439911_at	4.23e-01	-1.72e-01		
1436042_at	4.23e-01	8.95e-02	Tln1	talin 1
1453346_at	4.23e-01	3.80e-01	1700011L22Rik	RIKEN cDNA 1700011L22 gene
1456529_at	4.23e-01	2.26e-01	Foxo1	forkhead box O1
1446153_at	4.23e-01	-2.62e-01		
1444989_at	4.23e-01	1.79e-01		
1453336_at	4.23e-01	-1.17e-01	Fam175a	family with sequence similarity 175, member A
1443048_at	4.23e-01	-1.23e-01	Gm19648	predicted gene, 19648
1449735_at	4.23e-01	7.71e-01		
1450500_at	4.23e-01	1.21e-01	Uhmk1	U2AF homology motif (UHM) kinase 1
1421447_at	4.23e-01	2.35e-01	Onecut1	one cut domain, family member 1
1428000_at	4.23e-01	-5.53e-02	Tmem60	transmembrane protein 60
1444268_at	4.23e-01	-1.14e-01	Gm38522///BC004004	predicted gene, 38522///cDNA sequence BC004004
1436948_a_at	4.23e-01	1.30e-01	Tmem255a	transmembrane protein 255A
1458929_at	4.23e-01	5.56e-01	Abca9	ATP-binding cassette, sub-family A (ABC1), member 9
1448006_at	4.23e-01	-5.64e-01	Zc3h7b	zinc finger CCCH type containing 7B
1435687_at	4.23e-01	-2.75e-01	Sv2b	synaptic vesicle glycoprotein 2 b
1457689_at	4.23e-01	-7.58e-01	Sbf2	SET binding factor 2
1422640_at	4.23e-01	-9.01e-01	Pcdhb9	protocadherin beta 9
1459729_at	4.23e-01	-7.60e-01	Slc13a5	solute carrier family 13 (sodium-dependent citrate transporter), member 5
1455181_at	4.23e-01	9.62e-02	Rasa2	RAS p21 protein activator 2
1451877_at	4.23e-01	-4.75e-01	Eda	ectodysplasin-A
1447564_x_at	4.23e-01	1.60e-01	Piwil4	piwi-like RNA-mediated gene silencing 4
1448357_at	4.23e-01	5.80e-02	Snrpg	small nuclear ribonucleoprotein polypeptide G
1452173_at	4.23e-01	-5.20e-02	Hadha	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit
1458739_at	4.23e-01	-6.87e-01		
1452677_at	4.23e-01	-2.25e-01	Pnpt1	polyribonucleotide nucleotidyltransferase 1
1447012_at	4.23e-01	-3.87e-01	Gm10791	predicted gene 10791
1459086_at	4.24e-01	2.81e-01		
1429548_at	4.24e-01	-4.49e-01	Tex22	testis expressed gene 22
1423828_at	4.24e-01	-1.02e-01	Fasn	fatty acid synthase
1458995_at	4.24e-01	-8.15e-01	Diexf	digestive organ expansion factor homolog (zebrafish)
1443252_at	4.24e-01	2.18e-01	Rnf144b	ring finger protein 144B
1420433_at	4.24e-01	6.64e-01	Taf7l	TATA-box binding protein associated factor 7 like
1434959_at	4.24e-01	-8.02e-01	Dhh	desert hedgehog
1450085_at	4.24e-01	-5.93e-01	Angptl2	angiopoietin-like 2
1446877_at	4.24e-01	-1.04	C230014O12Rik	RIKEN cDNA C230014O12 gene
1460132_at	4.24e-01	-5.51e-01		
1441406_at	4.24e-01	-1.80e-01	Armt1	acidic residue methyltransferase 1
1459763_at	4.24e-01	-5.31e-01		
1442199_at	4.24e-01	-8.58e-01	Btnl2	butyrophilin-like 2
1455873_a_at	4.24e-01	-1.12e-01	Vps18	VPS18 CORVET/HOPS core subunit
1444953_at	4.24e-01	-1.16e-01	Nucks1	nuclear casein kinase and cyclin-dependent kinase substrate 1
1424748_at	4.24e-01	-8.60e-02	Galnt11	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11
1423230_at	4.24e-01	4.95e-02	Inpp5e	inositol polyphosphate-5-phosphatase E
1416078_s_at	4.24e-01	7.54e-02	Raf1	v-raf-leukemia viral oncogene 1
1436104_a_at	4.24e-01	2.38e-01	Ccdc74a	coiled-coil domain containing 74A
1447812_x_at	4.24e-01	2.03e-01	Flnc	filamin C, gamma
1422987_at	4.24e-01	-5.48e-01	Ntn1	netrin 1
1450650_at	4.24e-01	-1.57e-01	Myo10	myosin X
1451410_a_at	4.24e-01	2.31e-01	Crip3	cysteine-rich protein 3
1454587_at	4.24e-01	-6.02e-01	9330199C07Rik	RIKEN cDNA 9330199C07 gene
1419097_a_at	4.24e-01	-1.46e-01	Stom	stomatin
1453502_at	4.24e-01	2.51e-01	2210408I21Rik	RIKEN cDNA 2210408I21 gene
1437278_a_at	4.24e-01	7.83e-02	Uba2	ubiquitin-like modifier activating enzyme 2
1421263_at	4.24e-01	5.45e-01	Gabra3	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3
1453963_at	4.24e-01	3.59e-01	1600014C23Rik	RIKEN cDNA 1600014C23 gene
1438996_at	4.25e-01	7.06e-01	Sel1l2	sel-1 suppressor of lin-12-like 2 (C. elegans)
1459148_at	4.25e-01	-4.02e-01		
1455200_at	4.25e-01	-2.61e-01	Pak6	p21 protein (Cdc42/Rac)-activated kinase 6
1432294_at	4.25e-01	-1.01e-01	9330177L23Rik	RIKEN cDNA 9330177L23 gene
1424575_at	4.25e-01	8.09e-02	Ift22	intraflagellar transport 22
1415761_at	4.25e-01	8.41e-02	Mrpl52	mitochondrial ribosomal protein L52
1439921_at	4.25e-01	-8.41e-01	Gm3458	predicted gene 3458
1433249_at	4.25e-01	5.50e-01	4931409D07Rik	RIKEN cDNA 4931409D07 gene
1421292_a_at	4.25e-01	-7.64e-02	Nelfb	negative elongation factor complex member B
1436378_at	4.25e-01	6.65e-02	Lrrfip2	leucine rich repeat (in FLII) interacting protein 2
1453313_at	4.25e-01	-1.49e-01	Sesn3	sestrin 3
1430098_at	4.25e-01	-7.26e-01	6330409D20Rik	RIKEN cDNA 6330409D20 gene
1459646_at	4.25e-01	-4.90e-01	Hs3st6	heparan sulfate (glucosamine) 3-O-sulfotransferase 6
1435736_x_at	4.25e-01	-5.85e-02	Ift27	intraflagellar transport 27
1444819_at	4.25e-01	1.46e-01	C86090	expressed sequence C86090
1429781_s_at	4.25e-01	-1.17e-01	Ccdc39	coiled-coil domain containing 39
1448872_at	4.25e-01	6.03e-01	Reg3g	regenerating islet-derived 3 gamma
1446195_at	4.25e-01	-4.99e-01	Zfp286it	zinc finger protein 286, intronic transcript
1455589_at	4.25e-01	-1.56e-01	1700100M05Rik	RIKEN cDNA 1700100M05 gene
1456340_at	4.25e-01	-2.32e-01	Ntmt1	N-terminal Xaa-Pro-Lys N-methyltransferase 1
1433424_at	4.25e-01	-3.32e-01	1700101I19Rik	RIKEN cDNA 1700101I19 gene
1419915_at	4.25e-01	5.37e-02	Nus1	NUS1 dehydrodolichyl diphosphate synthase subunit
1416538_at	4.25e-01	1.06e-01	Siae	sialic acid acetylesterase
1436754_at	4.25e-01	-4.39e-01	Tmem179	transmembrane protein 179
1430722_at	4.25e-01	-3.05e-01	Henmt1	HEN1 methyltransferase homolog 1 (Arabidopsis)
1440697_at	4.25e-01	4.97e-01	AI746446	expressed sequence AI746446
1427712_at	4.25e-01	6.16e-01	Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1
1417807_at	4.25e-01	2.53e-01	Ufsp1	UFM1-specific peptidase 1
1420705_at	4.25e-01	-5.42e-01	Foxb1	forkhead box B1
1455415_at	4.25e-01	-7.24e-01	A730056A06Rik	RIKEN cDNA A730056A06 gene
1455828_at	4.25e-01	-2.56e-01	Gprin1	G protein-regulated inducer of neurite outgrowth 1
1431776_at	4.26e-01	-4.56e-01	Tob2	transducer of ERBB2, 2
1456681_at	4.26e-01	-1.45e-01	Ptchd1	patched domain containing 1
1443717_at	4.26e-01	-9.82e-01	Dpyd	dihydropyrimidine dehydrogenase
1427276_at	4.26e-01	6.83e-02	Smc4	structural maintenance of chromosomes 4
1441007_at	4.26e-01	-3.74e-01	A330102I10Rik	RIKEN cDNA A330102I10 gene
1420774_a_at	4.26e-01	4.39e-01	Mgarp	mitochondria localized glutamic acid rich protein
1445094_at	4.26e-01	-8.00e-01	D19Ertd744e	DNA segment, Chr 19, ERATO Doi 744, expressed
1441192_at	4.26e-01	-1.03e-01	Scly	selenocysteine lyase
1426977_at	4.26e-01	5.14e-02	Usp47	ubiquitin specific peptidase 47
1420552_s_at	4.26e-01	-4.16e-01	Tsga8	testis specific gene A8
1431824_at	4.26e-01	-8.41e-01	Cdh13	cadherin 13
1439090_at	4.26e-01	-8.57e-02	Tbc1d23	TBC1 domain family, member 23
1436783_x_at	4.26e-01	-6.12e-02	Ywhab	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide
1427343_at	4.26e-01	5.42e-01	Rasd2	RASD family, member 2
1431268_at	4.26e-01	2.93e-01	Gm9802	predicted gene 9802
1420368_at	4.26e-01	-8.02e-02	Denr	density-regulated protein
1417524_at	4.26e-01	-2.62e-01	Cnih2	cornichon family AMPA receptor auxiliary protein 2
1436240_at	4.26e-01	1.04e-01	B230214O09Rik	RIKEN cDNA B230214O09 gene
1442427_at	4.26e-01	1.24e-01		
1419288_at	4.26e-01	-5.21e-01	Jam2	junction adhesion molecule 2
1460079_at	4.26e-01	-5.30e-01	Ttc5	tetratricopeptide repeat domain 5
1418597_at	4.26e-01	-9.22e-02	Top3a	topoisomerase (DNA) III alpha
1439761_x_at	4.26e-01	-1.17e-01	D830026I12Rik	RIKEN cDNA D830026I12 gene
1425734_a_at	4.26e-01	9.05e-02	Ccdc77	coiled-coil domain containing 77
1427371_at	4.26e-01	7.88e-01	Abca8a	ATP-binding cassette, sub-family A (ABC1), member 8a
1426213_at	4.26e-01	6.23e-02	Imp4	IMP4, U3 small nucleolar ribonucleoprotein
1425563_s_at	4.26e-01	-4.21e-01	Pcdh10	protocadherin 10
1419357_at	4.26e-01	6.81e-02	Isy1	ISY1 splicing factor homolog
1454403_at	4.26e-01	3.79e-01	4930466I24Rik	RIKEN cDNA 4930466I24 gene
1418917_at	4.26e-01	-7.14e-01	Hebp2	heme binding protein 2
1426078_a_at	4.26e-01	-8.53e-02	Gpr108	G protein-coupled receptor 108
1435984_at	4.26e-01	-8.64e-02	Zfp40	zinc finger protein 40
1436831_at	4.26e-01	2.29e-01	Iqub	IQ motif and ubiquitin domain containing
1426927_at	4.26e-01	5.37e-01	Ap3b2	adaptor-related protein complex 3, beta 2 subunit
1428727_at	4.27e-01	-5.89e-02	Cep192	centrosomal protein 192
1428730_at	4.27e-01	-1.26e-01	Krit1	KRIT1, ankyrin repeat containing
1443977_at	4.27e-01	-5.55e-01	E130014H10Rik	RIKEN cDNA E130014H10 gene
1434533_x_at	4.27e-01	-7.39e-01	Ceacam11	carcinoembryonic antigen-related cell adhesion molecule 11
1457471_at	4.27e-01	-3.92e-01	Il17rc	interleukin 17 receptor C
1436985_at	4.27e-01	-1.32e-01	Zfp644	zinc finger protein 644
1433230_at	4.27e-01	7.20e-01	5730415C11Rik	RIKEN cDNA 5730415C11 gene
1429965_at	4.27e-01	2.56e-01	Lonrf2	LON peptidase N-terminal domain and ring finger 2
1453058_at	4.27e-01	-9.09e-02	Wdr5b	WD repeat domain 5B
1432972_at	4.27e-01	4.96e-01	4921518B13Rik	RIKEN cDNA 4921518B13 gene
1447970_at	4.27e-01	-1.34e-01	Rpp30	ribonuclease P/MRP 30 subunit
1440512_at	4.27e-01	2.78e-01	Atg4b	autophagy related 4B, cysteine peptidase
1423271_at	4.27e-01	-5.96e-01	Gjb2	gap junction protein, beta 2
1425307_at	4.27e-01	-5.12e-01	Dnah1	dynein, axonemal, heavy chain 1
1454781_x_at	4.27e-01	5.31e-02	Commd9	COMM domain containing 9
1440469_at	4.27e-01	-8.04e-01	Gm9999	predicted gene 9999
1434727_at	4.27e-01	-4.34e-01	Hepacam	hepatocyte cell adhesion molecule
1448623_at	4.27e-01	7.80e-02	Tmem123	transmembrane protein 123
1459476_s_at	4.27e-01	6.49e-02	Csrp2bp	cysteine and glycine-rich protein 2 binding protein
1422940_x_at	4.27e-01	2.13e-01	Serpinb3b///Serpinb3c	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3B///serine (or cysteine) peptidase inhibitor, clade B, member 3C
1417151_a_at	4.27e-01	4.30e-01	Ntsr2	neurotensin receptor 2
1439109_at	4.27e-01	-5.16e-01	Ccdc68	coiled-coil domain containing 68
1424689_at	4.27e-01	6.35e-01	Prss32	protease, serine 32
1444931_at	4.27e-01	1.90e-01		
1422828_at	4.27e-01	-4.90e-01	Cd3d	CD3 antigen, delta polypeptide
1447293_x_at	4.27e-01	-5.06e-01	Actr1b	ARP1 actin-related protein 1B, centractin beta
1425204_s_at	4.27e-01	5.37e-02	Ddx19b///Ddx19a	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19b///DEAD (Asp-Glu-Ala-Asp) box polypeptide 19a
1422881_s_at	4.27e-01	-6.38e-02	Sypl	synaptophysin-like protein
1417192_at	4.27e-01	6.83e-02	Tomm70a	translocase of outer mitochondrial membrane 70 homolog A (yeast)
1428526_at	4.27e-01	7.97e-02	Naa38	N(alpha)-acetyltransferase 38, NatC auxiliary subunit
1438141_at	4.27e-01	5.37e-01	Lactbl1	lactamase, beta-like 1
1416601_a_at	4.27e-01	-1.64e-01	Rcan1	regulator of calcineurin 1
1434758_at	4.27e-01	-5.11e-01	Crispld2	cysteine-rich secretory protein LCCL domain containing 2
1440819_s_at	4.27e-01	1.03e-01	Szt2	seizure threshold 2
1428137_at	4.27e-01	7.41e-02	Arl8b	ADP-ribosylation factor-like 8B
1445417_at	4.27e-01	4.11e-01		
1447763_at	4.28e-01	-5.94e-01	Snap25	synaptosomal-associated protein 25
1432647_at	4.28e-01	3.14e-01	Egfr	epidermal growth factor receptor
1434487_at	4.28e-01	5.78e-02	Mef2d	myocyte enhancer factor 2D
1456092_at	4.28e-01	-1.74e-01	Kctd7	potassium channel tetramerisation domain containing 7
1415955_x_at	4.28e-01	-1.09e-01	Prm1	protamine 1
1444880_at	4.28e-01	-4.86e-01		
1448792_a_at	4.28e-01	8.63e-01	Cyp2f2	cytochrome P450, family 2, subfamily f, polypeptide 2
1424530_at	4.28e-01	2.06e-01	Sec14l2	SEC14-like lipid binding 2
1426758_s_at	4.28e-01	6.06e-01	Meg3	maternally expressed 3
1421213_at	4.28e-01	-4.74e-01	Edaradd	EDAR (ectodysplasin-A receptor)-associated death domain
1447666_x_at	4.28e-01	1.61e-01	Anapc15	anaphase prompoting complex C subunit 15
1427681_s_at	4.28e-01	6.08e-01	Vmn2r88	vomeronasal 2, receptor 88
1421351_at	4.28e-01	-4.66e-01	Gria4	glutamate receptor, ionotropic, AMPA4 (alpha 4)
1431063_at	4.28e-01	1.33e-01	Ganc	glucosidase, alpha; neutral C
1428523_at	4.28e-01	-5.68e-01	Adgrl3	adhesion G protein-coupled receptor L3
1451363_a_at	4.28e-01	1.48e-01	Dennd2d	DENN/MADD domain containing 2D
1436978_at	4.28e-01	-1.49e-01	Wnt9a	wingless-type MMTV integration site family, member 9A
1425159_at	4.28e-01	5.01e-01	Golt1a	golgi transport 1A
1436130_s_at	4.28e-01	4.68e-01	Adam6a///Adam6b	a disintegrin and metallopeptidase domain 6A///a disintegrin and metallopeptidase domain 6B
1431991_at	4.28e-01	-4.96e-01	2410004P03Rik	RIKEN cDNA 2410004P03 gene
1419958_at	4.28e-01	4.69e-01	Cphx3///Cphx2///Cphx1	cytoplasmic polyadenylated homeobox 3///cytoplasmic polyadenylated homeobox 2///cytoplasmic polyadenylated homeobox 1
1460678_at	4.28e-01	-5.86e-02	Klhdc2	kelch domain containing 2
1450620_at	4.28e-01	5.43e-01	Pdia4	protein disulfide isomerase associated 4
1446258_at	4.28e-01	2.50e-01	9530067D14Rik	Riken cDNA 9530067D14 gene
1426786_s_at	4.28e-01	1.36e-01	Dhx38	DEAH (Asp-Glu-Ala-His) box polypeptide 38
1427616_at	4.28e-01	-6.09e-01	Gm13583	predicted gene 13583
1420105_at	4.28e-01	-8.25e-01	D13Ertd205e	DNA segment, Chr 13, ERATO Doi 205, expressed
1447935_at	4.28e-01	-1.05e-01	Fancm	Fanconi anemia, complementation group M
1446687_at	4.28e-01	1.25e-01	Sf3a1	splicing factor 3a, subunit 1
